STATE,MAX_TEMP,MONTH,PERCIPATATION
MS,58.3,12,5.6
MO,44,12,2.5
MT,31.4,12,1.2
NE,38.2,12,0.7
NV,42.6,12,1.1
NH,33.9,12,4.2
NJ,45,12,4.3
NM,49.3,12,0.8
NY,35.4,12,3.5
NC,54.1,12,3.9
ND,24.5,12,0.6
OH,40.4,12,3
OK,51.3,12,2.1
OR,39.7,12,5.2
PA,39.2,12,3.5
RI,42.7,12,4.8
SC,58.7,12,3.9
SD,31.9,12,0.6
TN,50.4,12,5.4
TX,60.4,12,1.9
UT,38.1,12,1.2
VT,32.3,12,3.7
VA,48.8,12,3.6
WA,36.5,12,6.4
WV,44.1,12,3.8
WI,29,12,1.5
WY,32.2,12,1
